City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,singaparna,-7.3515,108.111,23.85,88,100,1.63,ID,1723101428
84,mirnyy,62.5353,113.9611,26.66,31,6,3.23,RU,1723101429
85,ushuaia,-54.8,-68.3,0.81,86,100,1.03,AR,1723101304
86,la passe,45.5549,-0.8967,19.67,67,7,3.02,FR,1723101431
87,ilulissat,69.2167,-51.1,5.01,100,100,2.06,GL,1723101434
88,nsanje,-16.92,35.262,25.44,50,1,1.68,MW,1723101435
89,labrador city,52.9463,-66.9114,8.99,87,75,5.36,CA,1723101436
90,flekkefjord,58.2971,6.6607,17.19,84,100,2.22,NO,1723101438
91,vadso,70.0744,29.7487,20.49,59,0,2.06,NO,1723101439
92,terrace,54.5163,-128.6035,20.95,64,0,2.57,CA,1723101440
93,kruisfontein,-34.0033,24.7314,13.55,64,0,1.61,ZA,1723101441
94,vorgashor,67.5833,63.95,15.75,46,7,2.23,RU,1723101442
95,minas de marcona,-15.2119,-75.1103,9.6,92,93,6.47,PE,1723101443
96,saldanha,-33.0117,17.9442,12.03,92,100,8.73,ZA,1723101444
97,corner brook,48.9667,-57.9484,15.09,95,6,2.36,CA,1723101440
98,road town,18.4167,-64.6167,26.05,71,0,6.83,VG,1723101447
99,llorente,11.4119,125.5458,31.27,66,98,3.56,PH,1723101448
100,daru,-9.0763,143.2092,25.2,85,58,6.54,PG,1723101154
101,isafjordur,66.0755,-23.124,8.02,81,100,5.14,IS,1723101450
102,seymour,38.9592,-85.8903,20.42,93,23,2.97,US,1723101451
103,abalak,58.1286,68.5944,17.67,45,5,3.43,RU,1723101452
104,newman,37.3138,-121.0208,26.68,60,0,2.69,US,1723101453
105,melilla,35.2937,-2.9383,27.21,78,40,0.51,ES,1723101455
106,puerto natales,-51.7236,-72.4875,1.44,87,100,1.05,CL,1723101457
107,camana,-16.6228,-72.7111,14.7,89,100,4.59,PE,1723101458
108,sinjai,-5.1241,120.253,27.45,75,23,5.35,ID,1723101459
109,kayangel,8.0823,134.7173,29.06,72,100,3.49,PW,1723101460
110,los andes,-32.8337,-70.5983,3.14,49,0,2.21,CL,1723100941
111,port lincoln,-34.7333,135.8667,14.71,64,1,6.24,AU,1723101463
112,san antonio de pale,-1.4014,5.6325,22.81,76,100,3.76,GQ,1723101464
113,ribeira brava,32.65,-17.0667,23.35,72,25,1.35,PT,1723101465
114,hithadhoo,-0.6,73.0833,27.44,78,100,5.2,MV,1723101466
115,anadyr,64.75,177.4833,8.28,81,75,4.0,RU,1723101467
116,mount gambier,-37.8333,140.7667,9.15,97,100,4.25,AU,1723101469
117,monahans,31.5943,-102.8926,30.4,32,0,2.23,US,1723101470
118,mil'kovo,55.6078,37.7956,20.19,65,90,3.07,RU,1723101471
119,south hedland,-20.4089,118.5983,29.96,15,92,5.14,AU,1723101343
120,port saint john's,-31.6229,29.5448,23.05,24,0,2.86,ZA,1723101329
121,port augusta,-32.5,137.7667,18.43,46,83,3.9,AU,1723101474
122,mao,39.8885,4.2658,26.31,89,20,4.12,ES,1723100921
123,vila velha,-20.3297,-40.2925,21.97,85,0,3.6,BR,1723101478
124,crane,31.3974,-102.3501,31.62,23,0,2.88,US,1723101479
125,port mathurin,-19.6833,63.4167,22.3,75,20,5.92,MU,1723101480
126,san patricio,28.017,-97.5169,29.38,78,0,4.74,US,1723101482
127,eastham,41.8301,-69.9739,17.18,93,99,2.45,US,1723101404
128,atafu village,-8.5421,-172.5159,28.59,72,100,9.27,TK,1723101484
129,lautoka,-17.6167,177.4667,23.92,57,40,3.09,FJ,1723101485
130,sardarshahr,28.4333,74.4833,31.96,63,84,5.89,IN,1723101486
131,altai,46.3722,96.2583,18.71,32,100,2.72,MN,1723101488
132,mananjary,-21.2167,48.3333,23.97,64,14,1.01,MG,1723101489
133,abingdon,51.6711,-1.2828,17.23,87,20,4.63,GB,1723101490
134,rupert,42.6191,-113.6772,21.21,37,0,4.12,US,1723101491
135,sitangkai,4.6628,119.3928,27.98,74,100,2.63,PH,1723101493
136,hovd,48.0056,91.6419,26.22,24,4,4.1,MN,1723101494
137,sinabang,2.4803,96.3801,30.33,62,97,2.63,ID,1723101495
138,kodiak,57.79,-152.4072,12.73,94,100,1.54,US,1723101229
139,kemi,65.8596,24.8228,18.87,55,0,4.12,FI,1723101498
140,papatowai,-46.5619,169.4708,6.54,88,26,3.06,NZ,1723101499
141,trikala,39.5553,21.7675,29.04,39,0,1.52,GR,1723101500
142,colonia,50.9333,6.95,19.34,72,0,3.6,DE,1723101471
143,longyearbyen,78.2186,15.6401,11.91,87,75,1.03,SJ,1723101503
144,kismayo,-0.3582,42.5454,26.62,65,8,6.73,SO,1723101504
145,tanjung selor,2.8372,117.3642,27.97,87,92,0.9,ID,1723101505
146,luganville,-15.5333,167.1667,23.75,72,90,6.1,VU,1723101506
147,port alfred,-33.5906,26.891,18.05,63,0,3.29,ZA,1723101507
148,nemuro,43.3236,145.575,18.46,100,100,3.83,JP,1723101508
149,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,53,0,1.0,RU,1723101510
150,egilsstadir,65.2653,-14.3948,7.95,87,100,2.57,IS,1723101231
151,albany,42.6001,-73.9662,16.53,79,69,1.16,US,1723101314
152,lompoc,34.6391,-120.4579,17.05,93,0,1.54,US,1723101513
153,faya-largeau,17.9257,19.1043,29.55,60,100,3.68,TD,1723101515
154,hadibu,12.65,54.0333,26.86,76,40,10.92,YE,1723101516
155,fort st. john,56.2499,-120.8529,13.94,77,0,3.6,CA,1723101305
156,talnakh,69.4865,88.3972,18.89,42,79,5.79,RU,1723101519
157,muisne,0.6,-80.0333,23.82,88,100,3.91,EC,1723101520
158,keflavik,64.0049,-22.5624,10.24,93,75,4.12,IS,1723101521
159,pundong,-7.9522,110.3486,29.3,62,27,8.46,ID,1723101522
160,vecvarkava,56.1833,26.5167,20.45,64,0,1.05,LV,1723101524
161,isangel,-19.55,169.2667,20.84,72,100,5.83,VU,1723101526
162,el calafate,-50.3408,-72.2768,1.04,54,100,1.11,AR,1723101527
163,port elizabeth,-33.918,25.5701,17.4,89,20,1.54,ZA,1723101528
164,takoradi,4.8845,-1.7554,23.24,88,100,3.98,GH,1723101529
165,magadan,59.5667,150.8,14.47,81,15,2.73,RU,1723101530
166,villa gesell,-37.2639,-56.973,8.92,94,100,10.02,AR,1723101532
167,vorkuta,67.5,64.0,15.89,46,6,2.09,RU,1723101533
168,turkmenbasy,40.0222,52.9552,31.43,45,0,8.23,TM,1723101534
169,caleta de carquin,-11.0925,-77.6267,15.86,88,80,2.93,PE,1723101535
170,harrison,30.4091,-89.0436,28.04,80,0,1.54,US,1723101537
171,ribeira grande,38.5167,-28.7,22.1,78,20,3.58,PT,1723101538
172,revda,56.801,59.9303,14.04,70,100,3.37,RU,1723101539
173,copala,16.65,-98.9833,26.59,88,97,3.48,MX,1723101540
174,ash shamiyah,31.9636,44.599,41.05,16,0,5.14,IQ,1723101541
175,carnarvon,-24.8667,113.6333,20.89,58,3,6.88,AU,1723101543
176,mount pearl,47.5166,-52.7813,14.98,92,75,5.14,CA,1723101546
177,ola,59.5833,151.2833,14.33,82,37,3.4,RU,1723101547
178,avarua,-21.2078,-159.775,21.03,56,0,1.54,CK,1723101548
179,piuma,-20.8378,-40.7219,19.63,71,0,2.19,BR,1723101550
180,lihue,21.9789,-159.3672,24.77,81,20,5.14,US,1723101552
181,porto novo,6.4965,2.6036,24.9,83,100,3.48,BJ,1723101553
182,undurkhaan,47.3194,110.6556,20.43,74,100,2.48,MN,1723101554
183,tangalle,6.024,80.7911,32.5,57,46,7.21,LK,1723101555
184,uturoa,-16.7333,-151.4333,26.08,83,2,1.46,PF,1723101557
185,mogadishu,2.0371,45.3438,26.2,74,100,5.97,SO,1723101558
186,opuwo,-18.0607,13.84,20.95,25,0,1.23,NA,1723101559
187,dakhla,23.6848,-15.958,19.48,90,11,7.51,EH,1723101560
188,kerikeri,-35.2268,173.9474,12.73,92,83,0.89,NZ,1723101562
189,souillac,-20.5167,57.5167,26.86,61,20,4.63,MU,1723101563
190,lebu,-37.6167,-73.65,4.67,85,0,2.14,CL,1723101370
191,choibalsan,48.0667,114.5,27.3,43,100,2.09,MN,1723101566
192,jamestown,42.097,-79.2353,19.18,100,100,3.6,US,1723101507
193,karratha,-20.7377,116.8463,27.77,26,39,1.96,AU,1723101569
194,puerto ayora,-0.7393,-90.3518,19.75,90,87,2.24,EC,1723101570
195,malanje,-9.5402,16.341,20.04,57,79,1.94,AO,1723101572
196,shirdi,19.7667,74.4833,28.95,62,100,6.74,IN,1723101573
197,balatonfured,46.9619,17.8719,22.42,67,98,0.89,HU,1723101574
198,onega,63.9061,38.1404,18.66,48,7,0.6,RU,1723101575
199,susuman,62.7833,148.1667,12.57,74,100,1.8,RU,1723101577
200,itapage,-3.6867,-39.5861,19.48,98,39,1.68,BR,1723101578
201,seaside,36.6111,-121.8516,15.51,96,100,0.89,US,1723101579
