City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,40,0,2.0,RU,1722731450
83,tchintabaraden,15.8969,5.7985,25.86,74,100,2.78,NE,1722731451
84,tarnogskiy gorodok,60.4997,43.5761,12.27,98,45,2.04,RU,1722731452
85,atafu village,-8.5421,-172.5159,28.06,77,45,6.32,TK,1722730951
86,nouadhibou,20.931,-17.0347,23.99,88,9,1.54,MR,1722731455
87,matipo,-20.2839,-42.3411,16.81,92,39,2.32,BR,1722731456
88,ribeira grande,38.5167,-28.7,22.1,88,2,1.34,PT,1722731308
89,howard springs,-12.497,131.047,25.95,89,100,3.92,AU,1722731458
90,camarinas,43.1311,-9.1817,18.29,89,1,3.64,ES,1722731459
91,kamloops,50.6665,-120.3192,35.87,22,40,5.66,CA,1722731461
92,bredasdorp,-34.5322,20.0403,7.67,92,89,3.47,ZA,1722731273
93,nogliki,51.8333,143.1667,17.24,50,100,3.61,RU,1722731463
94,ushuaia,-54.8,-68.3,-1.19,64,100,4.63,AR,1722731214
95,enewetak,11.3474,162.3373,28.32,76,90,1.69,MH,1722731465
96,saurimo,-9.6608,20.3916,16.37,31,85,2.14,AO,1722731466
97,san ignacio de velasco,-16.3667,-60.95,24.74,39,0,2.0,BO,1722731468
98,iqaluit,63.7506,-68.5145,4.85,80,40,8.75,CA,1722731310
99,ilulissat,69.2167,-51.1,11.01,50,28,0.0,GL,1722731051
100,port augusta,-32.5,137.7667,13.16,69,100,3.29,AU,1722731219
101,recani,31.2846,-4.2688,32.58,8,3,1.5,MA,1722731472
102,rundu,-17.9333,19.7667,14.11,26,0,1.92,NA,1722731473
103,arraial do cabo,-22.9661,-42.0278,22.32,83,0,11.53,BR,1722731046
104,colonia,50.9333,6.95,19.47,84,40,2.57,DE,1722731386
105,zinapecuaro,19.8667,-100.8167,15.51,90,100,1.11,MX,1722731477
106,tiksi,71.6872,128.8694,8.17,72,100,1.11,RU,1722731478
107,malango,-2.9627,119.9001,22.81,75,100,1.16,ID,1722731479
108,bilibino,68.0546,166.4372,8.56,65,100,0.99,RU,1722731223
109,ambon,-3.6954,128.1814,26.6,95,75,2.57,ID,1722731482
110,stanley,54.868,-1.6985,11.51,90,0,1.54,GB,1722731034
111,egilsstadir,65.2653,-14.3948,7.95,93,75,3.6,IS,1722731182
112,tobelo,1.7284,128.0095,27.82,78,19,1.18,ID,1722731485
113,basse-terre,16.1667,-61.6667,25.58,89,40,2.06,GP,1722731486
114,kolonia,50.9333,6.95,19.97,84,40,2.57,DE,1722731487
115,port elizabeth,-33.918,25.5701,20.16,21,0,2.57,ZA,1722731222
116,coyhaique,-45.5752,-72.0662,4.34,97,98,2.68,CL,1722731412
117,cadale,2.7603,46.3222,24.37,85,67,7.32,SO,1722731491
118,griffith,41.5284,-87.4237,28.48,75,0,3.09,US,1722731493
119,cassilandia,-19.1133,-51.7342,22.11,37,0,2.93,BR,1722731494
120,gulsehir,38.7459,34.6252,17.18,48,0,0.0,TR,1722731495
121,touros,-5.1989,-35.4608,23.13,78,0,5.92,BR,1722731496
122,fort bragg,35.139,-79.006,23.91,91,75,2.06,US,1722731498
123,dawson creek,55.7666,-120.2362,26.8,14,0,2.57,CA,1722731499
124,saipan,15.1355,145.701,30.39,74,75,6.17,MP,1722731500
125,chonchi,-42.6128,-73.8092,7.84,96,100,1.57,CL,1722731501
126,haiku-pauwela,20.9219,-156.3051,27.92,75,40,11.32,US,1722731343
127,labytnangi,66.6572,66.4183,11.86,84,100,9.77,RU,1722731503
128,la gi,10.6667,107.7833,27.5,81,42,3.53,VN,1722731505
129,saint cloud,45.5608,-94.1625,27.0,96,99,5.82,US,1722731506
130,vadso,70.0744,29.7487,10.49,87,100,4.12,NO,1722731215
131,kayankulam,9.1833,76.5,24.52,92,100,2.89,IN,1722731508
